campaign_id,campaign_name,channel,objective,start_date,end_date,client_id,client_name,segment
CMP0001,Property Lead Gen 01,Property Portal,Lead Gen,2026-02-03,2026-08-15,C001,Apex Build Group,Developer
CMP0002,Google Brand Awareness 02,Google Ads,Brand Awareness,2026-04-01,2026-05-31,C001,Apex Build Group,Developer
CMP0003,LinkedIn Lead Gen 03,LinkedIn Ads,Lead Gen,2026-03-14,2026-08-31,C001,Apex Build Group,Developer
CMP0004,Google Lead Gen 04,Google Ads,Lead Gen,2026-04-17,2026-08-26,C001,Apex Build Group,Developer
CMP0005,Meta Brand Awareness 05,Meta Ads,Brand Awareness,2026-01-09,2026-07-17,C001,Apex Build Group,Developer
CMP0006,Meta Brand Awareness 06,Meta Ads,Brand Awareness,2026-01-02,2026-04-06,C001,Apex Build Group,Developer
CMP0007,Meta Lead Gen 07,Meta Ads,Lead Gen,2025-12-28,2026-03-03,C002,Ridgeview Developments,Developer
CMP0008,Meta Brand Awareness 08,Meta Ads,Brand Awareness,2026-01-11,2026-07-21,C002,Ridgeview Developments,Developer
CMP0009,Meta Lead Gen 09,Meta Ads,Lead Gen,2025-12-15,2026-03-24,C002,Ridgeview Developments,Developer
CMP0010,Google Lead Gen 10,Google Ads,Lead Gen,2026-03-26,2026-06-26,C003,Stonecrest Construction,Contractor
CMP0011,Google Brand Awareness 11,Google Ads,Brand Awareness,2025-12-13,2026-05-28,C003,Stonecrest Construction,Contractor
CMP0012,Google Brand Awareness 12,Google Ads,Brand Awareness,2025-11-07,2026-03-28,C003,Stonecrest Construction,Contractor
CMP0013,Meta Lead Gen 13,Meta Ads,Lead Gen,2026-01-03,2026-03-18,C004,Blueline Civils,Contractor
CMP0014,Meta Brand Awareness 14,Meta Ads,Brand Awareness,2026-01-17,2026-07-05,C004,Blueline Civils,Contractor
CMP0015,Meta Lead Gen 15,Meta Ads,Lead Gen,2026-02-10,2026-06-12,C004,Blueline Civils,Contractor
CMP0016,Google Brand Awareness 16,Google Ads,Brand Awareness,2025-12-04,2026-04-07,C004,Blueline Civils,Contractor
CMP0017,Property Lead Gen 17,Property Portal,Lead Gen,2025-12-27,2026-06-01,C004,Blueline Civils,Contractor
CMP0018,LinkedIn Lead Gen 18,LinkedIn Ads,Lead Gen,2026-02-05,2026-07-04,C004,Blueline Civils,Contractor
CMP0019,Meta Lead Gen 19,Meta Ads,Lead Gen,2025-11-17,2026-03-21,C005,Ironwood Building Supplies,Supplier
CMP0020,Google Lead Gen 20,Google Ads,Lead Gen,2025-10-03,2026-01-19,C005,Ironwood Building Supplies,Supplier
CMP0021,LinkedIn Lead Gen 21,LinkedIn Ads,Lead Gen,2026-03-24,2026-08-31,C005,Ironwood Building Supplies,Supplier
CMP0022,Property Brand Awareness 22,Property Portal,Brand Awareness,2026-04-11,2026-08-31,C005,Ironwood Building Supplies,Supplier
CMP0023,Google Brand Awareness 23,Google Ads,Brand Awareness,2025-11-19,2026-04-16,C006,Highveld Materials,Supplier
CMP0024,Property Lead Gen 24,Property Portal,Lead Gen,2025-11-06,2026-04-08,C006,Highveld Materials,Supplier
CMP0025,Meta Lead Gen 25,Meta Ads,Lead Gen,2025-11-12,2026-02-18,C006,Highveld Materials,Supplier
CMP0026,Property Lead Gen 26,Property Portal,Lead Gen,2026-03-02,2026-07-27,C007,Savanna Estates,Estate Agency
CMP0027,LinkedIn Lead Gen 27,LinkedIn Ads,Lead Gen,2025-12-04,2026-05-28,C007,Savanna Estates,Estate Agency
CMP0028,Google Lead Gen 28,Google Ads,Lead Gen,2025-12-23,2026-07-25,C007,Savanna Estates,Estate Agency
CMP0029,Meta Lead Gen 29,Meta Ads,Lead Gen,2025-12-26,2026-07-13,C008,Urban Nest Properties,Estate Agency
CMP0030,Meta Lead Gen 30,Meta Ads,Lead Gen,2025-12-08,2026-06-24,C008,Urban Nest Properties,Estate Agency
CMP0031,Meta Lead Gen 31,Meta Ads,Lead Gen,2026-03-07,2026-08-31,C008,Urban Nest Properties,Estate Agency
CMP0032,Property Lead Gen 32,Property Portal,Lead Gen,2025-10-31,2026-04-01,C008,Urban Nest Properties,Estate Agency
CMP0033,Property Lead Gen 33,Property Portal,Lead Gen,2026-03-19,2026-07-24,C008,Urban Nest Properties,Estate Agency
