client_id,client_name,segment,channel,report_month,spend_zar,impressions,clicks,leads,qualified_leads,won_deals,won_revenue_zar,ctr,cost_per_click_zar,cost_per_lead_zar,lead_to_win_rate,return_on_ad_spend
C001,Apex Build Group,Developer,Property Portal,2026-02-01,17332.04,57067,1150,34,8,0,0,0.0202,15.07,509.77,0.0,0.0
C001,Apex Build Group,Developer,Property Portal,2026-03-01,20737.63,64865,1261,42,12,0,0,0.0194,16.45,493.75,0.0,0.0
C001,Apex Build Group,Developer,Property Portal,2026-04-01,19763.45,66032,1282,39,15,2,1974200,0.0194,15.42,506.76,0.0513,99.89
C001,Apex Build Group,Developer,Property Portal,2026-05-01,20545.360000000008,67949,1277,49,17,1,1547100,0.0188,16.09,419.29,0.0204,75.3
C001,Apex Build Group,Developer,Property Portal,2026-06-01,19861.759999999995,58122,1179,40,11,1,874500,0.0203,16.85,496.54,0.025,44.03
C001,Apex Build Group,Developer,Property Portal,2026-07-01,20914.44,63616,1284,41,21,0,0,0.0202,16.29,510.11,0.0,0.0
C001,Apex Build Group,Developer,Property Portal,2026-08-01,9604.4,27648,1768,26,15,0,0,0.0639,5.43,369.4,0.0,0.0
C001,Apex Build Group,Developer,Google Ads,2026-04-01,93694.71999999999,105669,6899,37,15,0,0,0.0653,13.58,2532.29,0.0,0.0
C001,Apex Build Group,Developer,Google Ads,2026-05-01,113113.24999999997,126854,5958,74,28,2,2566300,0.047,18.99,1528.56,0.027,22.69
C001,Apex Build Group,Developer,LinkedIn Ads,2026-03-01,46156.219999999994,115054,685,11,5,0,0,0.006,67.38,4196.02,0.0,0.0
C001,Apex Build Group,Developer,LinkedIn Ads,2026-04-01,79720.47000000002,190011,1147,21,5,0,0,0.006,69.5,3796.21,0.0,0.0
C001,Apex Build Group,Developer,LinkedIn Ads,2026-05-01,78271.78000000001,172332,1079,23,4,0,0,0.0063,72.54,3403.12,0.0,0.0
C001,Apex Build Group,Developer,LinkedIn Ads,2026-06-01,77958.75999999998,195795,1159,25,6,0,0,0.0059,67.26,3118.35,0.0,0.0
C001,Apex Build Group,Developer,LinkedIn Ads,2026-07-01,80703.21999999999,195193,1175,22,16,0,0,0.006,68.68,3668.33,0.0,0.0
C001,Apex Build Group,Developer,LinkedIn Ads,2026-08-01,80269.04,181027,1109,21,15,0,0,0.0061,72.38,3822.34,0.0,0.0
C001,Apex Build Group,Developer,Google Ads,2026-06-01,26812.479999999996,27585,1336,60,21,1,814900,0.0484,20.07,446.87,0.0167,30.39
C001,Apex Build Group,Developer,Google Ads,2026-07-01,26958.29,28462,1360,31,15,0,0,0.0478,19.82,869.62,0.0,0.0
C001,Apex Build Group,Developer,Google Ads,2026-08-01,22650.189999999995,23020,1131,25,17,0,0,0.0491,20.03,906.01,0.0,0.0
C001,Apex Build Group,Developer,Meta Ads,2026-01-01,121432.66000000003,1648506,35441,42,18,2,1164500,0.0215,3.43,2891.25,0.0476,9.59
C001,Apex Build Group,Developer,Meta Ads,2026-02-01,124764.98000000001,1745678,16158,41,16,2,1289900,0.0093,7.72,3043.05,0.0488,10.34
C001,Apex Build Group,Developer,Meta Ads,2026-03-01,137133.28999999995,1898774,17729,59,20,2,1413400,0.0093,7.73,2324.29,0.0339,10.31
C001,Apex Build Group,Developer,Meta Ads,2026-04-01,63357.23999999998,809451,7761,20,5,0,0,0.0096,8.16,3167.86,0.0,0.0
C001,Apex Build Group,Developer,Meta Ads,2026-05-01,46749.08000000001,585099,26637,17,3,1,956300,0.0455,1.76,2749.95,0.0588,20.46
