campaign_id,report_date,impressions,clicks,spend_zar
CMP0029,2026-01-19,11344,116,955.54
CMP0028,2025-12-30,2222,128,3104.68
CMP0021,2026-05-09,2776,19,965.08
CMP0014,2026-05-12,13296,115,996.82
CMP0032,2025-12-05,4168,82,1459.05
CMP0004,2026-04-24,647,38,849.48
CMP0018,2026-06-20,7881,41,1893.38
CMP0018,2026-06-18,8178,8218,2775.37
CMP0026,2026-03-31,2908,47,801.97
CMP0030,2026-01-13,13067,139,1541.4
CMP0005,2026-07-10,23935,205,1513.02
CMP0008,2026-07-11,20534,208,1590.75
CMP0007,2026-01-30,9354,95,1055.38
CMP0008,2026-01-17,30629,275,1743.5
CMP0030,2026-02-13,14215,170,1482.26
CMP0030,2026-03-27,15479,182,1637.81
CMP0028,2026-05-17,1706,102,2352.25
CMP0025,2025-11-18,25842,335,2358.99
CMP0020,2025-10-06,1047,51,1277.91
CMP0030,2025-12-10,16558,196,1667.99
CMP0031,2026-04-22,16535,230,1636.79
CMP0006,2026-01-15,35257,393,2867.22
CMP0030,2026-04-26,10241,133,1214.79
CMP0019,2026-01-23,20077,234,1976.17
CMP0003,2026-08-18,6793,41,3059.15
CMP0002,2026-04-01,2807,124,2999.72
CMP0008,2026-07-07,35430,358,2378.06
CMP0001,2026-06-28,2264,37,552.57
CMP0015,2026-03-07,25886,362,2641.45
CMP0007,2026-01-09,8540,102,1226.77
CMP0016,2026-03-06,4829,157,2012.33
CMP0015,2026-04-03,32028,450,3192.15
CMP0014,2026-04-18,10227,113,812.01
CMP0018,2026-04-12,4469,27,1752.27
CMP0002,2026-04-02,2976,111,2698.2
CMP0011,2026-05-06,1953,79,1256.29
CMP0019,2025-12-05,23057,269,2008.64
CMP0015,2026-02-20,26354,359,2763.2
CMP0024,2026-03-22,7138,129,2420.65
CMP0031,2026-07-02,15418,197,1675.71
CMP0018,2026-06-02,7847,48,2265.71
CMP0029,2026-01-03,4345,61,649.71
CMP0024,2025-11-22,6067,118,2339.25
CMP0032,2026-03-28,4450,77,1333.28
CMP0022,2026-06-24,10329,140,1357.36
CMP0015,2026-05-22,37972,442,3205.54
CMP0028,2026-05-07,2613,148,3244.84
CMP0005,2026-07-14,19276,178,1563.99
CMP0029,2026-07-03,7168,97,912.06
CMP0015,2026-02-16,39515,412,3031.52
CMP0023,2026-02-09,565,27,721.21
CMP0021,2026-08-22,2806,19,948.8
CMP0016,2026-01-18,1775,84,1407.39
CMP0027,2026-04-29,5047,29,1951.9
CMP0021,2026-05-26,4734,31,1495.5
CMP0030,2026-05-19,15085,174,1714.56
CMP0027,2026-02-21,5624,32,1756.05
CMP0030,2026-03-07,12491,126,1238.59
CMP0001,2026-07-14,2290,38,718.45
CMP0012,2026-01-22,1739,79,1303.86
CMP0014,2026-04-25,11228,113,926.81
CMP0016,2026-01-03,2419,103,1395.93
CMP0033,2026-05-02,2825,66,1058.83
CMP0028,2026-01-13,2305,109,2965.04
CMP0012,2026-01-21,2157,102,1256.29
CMP0005,2026-03-08,14430,134,1092.95
CMP0008,2026-03-17,38832,346,2407.57
CMP0014,2026-01-27,12157,123,1042.17
CMP0029,2026-03-13,6346,86,938.77
CMP0030,2026-05-01,18505,186,1734.15
CMP0022,2026-05-18,8008,119,1339.34
CMP0033,2026-03-30,5529,110,1618.91
CMP0024,2026-03-24,8559,171,2988.95
CMP0024,2026-03-10,8024,155,3096.87
CMP0016,2026-01-28,2687,121,1785.59
CMP0017,2026-03-04,14041,264,3249.53
CMP0030,2026-06-19,12665,178,1766.35
CMP0024,2026-03-23,9012,164,2940.89
CMP0010,2026-05-08,1735,94,2527.7
CMP0009,2026-03-12,20601,249,1792.23
CMP0018,2026-02-16,7490,51,2692.46
CMP0004,2026-04-17,855,39,835.11
CMP0008,2026-02-22,25694,232,1731.9
CMP0027,2026-03-29,5280,29,1873.36
CMP0027,2026-05-16,6953,41,1830.81
CMP0023,2026-01-03,866,33,597.48
CMP0024,2025-12-01,7519,135,2781.88
CMP0023,2026-03-31,744,34,852.13
CMP0014,2026-07-05,11843,108,902.43
CMP0033,2026-06-26,3965,92,1367.71
CMP0019,2026-01-06,22552,287,2293.63
CMP0014,2026-04-21,18762,151,1084.98
CMP0010,2026-06-19,1729,93,2018.7
CMP0008,2026-06-29,30866,326,2272.11
CMP0022,2026-05-14,5114,90,1099.82
CMP0027,2025-12-05,5167,27,1951.14
CMP0008,2026-03-03,25879,297,2415.93
CMP0029,2026-03-16,8458,88,903.53
CMP0003,2026-08-21,5977,39,2989.84
CMP0032,2026-01-16,4028,82,1527.8
CMP0012,2026-01-11,1507,58,824.67
CMP0014,2026-06-08,15558,149,1195.81
CMP0024,2025-11-20,6489,152,3252.42
CMP0005,2026-07-12,17970,174,1338.42
CMP0011,2026-05-28,2386,87,1494.82
CMP0032,2026-02-04,3603,83,1457.52
CMP0014,2026-05-07,17031,145,1052.25
CMP0005,2026-02-08,18265,157,1315.86
CMP0030,2026-02-20,13114,186,1697.75
CMP0022,2026-07-26,4808,78,837.72
CMP0032,2026-02-25,4353,78,1557.78
CMP0020,2026-01-16,1022,55,1255.78
CMP0009,2026-03-19,16108,225,1727.37
CMP0014,2026-07-02,15623,15647,1216.45
CMP0005,2026-03-14,16423,165,1187.61
CMP0027,2026-05-15,5338,37,2466.29
CMP0005,2026-01-13,19888,19931,1526.43
CMP0003,2026-08-13,5997,37,2849.39
CMP0015,2026-04-18,26575,333,2455.14
CMP0030,2026-01-11,9019,126,1300.78
CMP0022,2026-08-24,7983,109,1338.03
CMP0028,2026-05-02,1877,95,2409.85
CMP0006,2026-02-23,52683,437,3419.99
CMP0033,2026-03-26,6337,118,1674.29
CMP0016,2026-03-22,2307,75,1288.18
CMP0030,2026-04-14,15433,166,1522.78
CMP0028,2026-06-12,2008,99,3125.35
CMP0033,2026-07-18,4292,77,1210.27
CMP0026,2026-06-04,2883,51,769.49
CMP0019,2026-02-24,19708,257,1971.38
CMP0017,2026-02-23,15498,287,3090.0
CMP0016,2026-01-21,3357,118,1749.38
CMP0032,2025-12-29,3937,84,1522.46
CMP0021,2026-08-31,4969,25,1172.02
CMP0017,2026-04-18,10728,193,2101.91
CMP0023,2026-03-25,894,31,770.05
CMP0021,2026-07-04,3546,20,1122.11
CMP0027,2026-05-03,4851,27,1860.9
CMP0016,2026-03-04,3308,121,2105.9
CMP0018,2026-06-23,8240,42,2212.82
CMP0005,2026-03-30,19569,206,1783.72
CMP0017,2026-05-26,9482,202,2632.74
CMP0021,2026-05-25,2969,21,1371.92
CMP0005,2026-06-23,22727,182,1584.16
CMP0009,2026-01-07,29597,298,2007.59
CMP0022,2026-07-10,7419,107,1377.49
CMP0028,2026-02-16,2719,109,3126.41
CMP0001,2026-02-07,1640,39,563.4
CMP0006,2026-01-14,39583,433,3128.53
CMP0014,2026-04-16,12434,143,1155.9
CMP0010,2026-04-23,1766,94,2160.07
CMP0023,2026-04-11,656,24,565.4
CMP0005,2026-03-27,21725,169,1565.38
CMP0019,2026-01-19,18539,225,1884.09
CMP0009,2026-01-26,15612,15622,1647.81
CMP0002,2026-05-22,3810,140,3159.34
CMP0020,2026-01-09,1237,74,1434.43
CMP0033,2026-05-27,4343,95,1346.71
CMP0022,2026-08-31,8248,115,1289.7
CMP0001,2026-08-09,1242,1278,478.62
CMP0031,2026-06-24,16581,209,1510.56
CMP0017,2026-04-30,14235,310,3242.11
CMP0030,2026-06-06,9424,102,1114.34
CMP0003,2026-05-26,4484,29,2555.42
CMP0025,2026-02-14,17608,247,1756.28
CMP0001,2026-05-23,986,21,544.4
CMP0004,2026-06-22,936,55,1017.46
