lead_id,campaign_id,created_date,stage,deal_value_zar,closed_date
LD000001,CMP0001,2026-02-03,qualified,,
LD000002,CMP0001,2026-02-04,New,,
LD000003,CMP0001,2026-02-05,LOST,,2026-02-28
LD000004,CMP0001,2026-02-05,new,,
LD000005,CMP0001,2026-02-06,NEW ,,
LD000006,CMP0001,2026-02-06,New,,
LD000007,CMP0001,2026-02-07,Lost,,2026-03-13
LD000008,CMP0001,2026-02-08,lost,,2026-03-04
LD000009,CMP0001,2026-02-09,qualified,,
LD000010,CMP0001,2026-02-09,Lost,,2026-02-18
LD000011,CMP0001,2026-02-10,NEW ,,
LD000012,CMP0001,2026-02-10,LOST,,2026-03-20
LD000013,CMP0001,2026-02-10,Proposal,,
LD000014,CMP0001,2026-02-11,Proposal,,
LD000015,CMP0001,2026-02-13,qualified,,
LD000016,CMP0001,2026-02-13,proposal ,,
LD000017,CMP0001,2026-02-15,qualified,,
LD000018,CMP0001,2026-02-15,NEW ,,
LD000019,CMP0001,2026-02-17,New,,
LD000020,CMP0001,2026-02-19,NEW ,,
LD000021,CMP0001,2026-02-20,lost,,2026-03-10
LD000022,CMP0001,2026-02-20,Lost,,2026-03-10
LD000023,CMP0001,2026-02-21,Lost,,2026-04-02
LD000024,CMP0001,2026-02-23,Lost,,2026-04-03
LD000025,CMP0001,2026-02-23,LOST,,2026-03-08
LD000026,CMP0001,2026-02-23,LOST,,2026-03-13
LD000027,CMP0001,2026-02-24,Lost,,2026-03-30
LD000028,CMP0001,2026-02-24,LOST,,2026-04-07
LD000029,CMP0001,2026-02-25,qualified,,
LD000030,CMP0001,2026-02-25,New,,
LD000031,CMP0001,2026-02-26,New,,
LD000032,CMP0001,2026-02-27,lost,,2026-03-13
LD000033,CMP0001,2026-02-28,Lost,,2026-03-08
LD000034,CMP0001,2026-02-28,NEW ,,
LD000035,CMP0001,2026-03-04,Proposal,,
LD000036,CMP0001,2026-03-05,New,,
LD000037,CMP0001,2026-03-05,new,,
LD000038,CMP0001,2026-03-05,LOST,,2026-03-21
LD000039,CMP0001,2026-03-05,Qualified,,
LD000040,CMP0001,2026-03-05,proposal ,,
LD000041,CMP0001,2026-03-07,LOST,,2026-04-02
LD000042,CMP0001,2026-03-08,NEW ,,
LD000043,CMP0001,2026-03-08,qualified,,
LD000044,CMP0001,2026-03-08,qualified,,
LD000045,CMP0001,2026-03-09,Lost,,2026-04-22
LD000046,CMP0001,2026-03-10,NEW ,,
LD000047,CMP0001,2026-03-10,NEW ,,
LD000048,CMP0001,2026-03-11,Qualified,,
LD000049,CMP0001,2026-03-11,LOST,,2026-04-21
LD000050,CMP0001,2026-03-12,lost,,2026-03-31
LD000051,CMP0001,2026-03-12,qualified,,
LD000052,CMP0001,2026-03-12,new,,
LD000053,CMP0001,2026-03-12,NEW ,,
LD000054,CMP0001,2026-03-13,LOST,,2026-04-06
LD000055,CMP0001,2026-03-13,Qualified,,
LD000056,CMP0001,2026-03-13,new,,
LD000057,CMP0001,2026-03-14,LOST,,2026-03-23
LD000058,CMP0001,2026-03-15,new,,
LD000059,CMP0001,2026-03-16,Qualified,,
LD000060,CMP0001,2026-03-17,New,,
LD000061,CMP0001,2026-03-17,new,,
LD000062,CMP0001,2026-03-18,lost,,2026-03-28
LD000063,CMP0001,2026-03-18,LOST,,2026-03-31
LD000064,CMP0001,2026-03-19,NEW ,,
LD000065,CMP0001,2026-03-21,new,,
LD000066,CMP0001,2026-03-23,NEW ,,
LD000067,CMP0001,2026-03-23,Qualified,,
LD000068,CMP0001,2026-03-23,New,,
LD000069,CMP0001,2026-03-24,new,,
LD000070,CMP0001,2026-03-25,Lost,,2026-04-12
LD000071,CMP0001,2026-03-26,new,,
LD000072,CMP0001,2026-03-26,Proposal,,
LD000073,CMP0001,2026-03-27,Qualified,,
LD000074,CMP0001,2026-03-29,new,,
LD000075,CMP0001,2026-03-30,New,,
LD000076,CMP0001,2026-03-31,Lost,,2026-05-01
LD000077,CMP0001,2026-04-02,Qualified,,
LD000078,CMP0001,2026-04-03,LOST,,2026-04-27
LD000079,CMP0001,2026-04-04,NEW ,,
LD000080,CMP0001,2026-04-06,New,,
LD000081,CMP0001,2026-04-06,lost,,2026-05-12
LD000082,CMP0001,2026-04-07,Lost,,2026-05-04
LD000083,CMP0001,2026-04-07,qualified,,
LD000084,CMP0001,2026-04-08,New,,
LD000085,CMP0001,2026-04-08,New,,
LD000086,CMP0001,2026-04-08,Won ,1002600.0,2026-05-10
LD000087,CMP0001,2026-04-09,New,,
LD000088,CMP0001,2026-04-11,Lost,,2026-05-22
LD000089,CMP0001,2026-04-11,lost,,2026-05-01
LD000090,CMP0001,2026-04-12,LOST,,2026-05-07
LD000091,CMP0001,2026-04-13,qualified,,
LD000092,CMP0001,2026-04-13,qualified,,
LD000093,CMP0001,2026-04-14,qualified,,
LD000094,CMP0001,2026-04-16,Qualified,,
LD000095,CMP0001,2026-04-16,qualified,,
LD000096,CMP0001,2026-04-17,NEW ,,
LD000097,CMP0001,2026-04-17,won,971600.0,2026-05-11
LD000098,CMP0001,2026-04-17,NEW ,,
LD000099,CMP0001,2026-04-18,lost,,2026-04-27
LD000100,CMP0001,2026-04-18,Lost,,2026-04-26
LD000101,CMP0001,2026-04-18,Qualified,,
LD000102,CMP0001,2026-04-19,LOST,,2026-05-22
LD000103,CMP0001,2026-04-20,Lost,,2026-05-03
LD000104,CMP0001,2026-04-20,LOST,,2026-05-30
LD000105,CMP0001,2026-04-23,New,,
LD000106,CMP0001,2026-04-24,qualified,,
LD000107,CMP0001,2026-04-24,Qualified,,
LD000108,CMP0001,2026-04-24,lost,,2026-05-19
LD000109,CMP0001,2026-04-25,qualified,,
LD000110,CMP0001,2026-04-26,Qualified,,
LD000111,CMP0001,2026-04-26,new,,
LD000112,CMP0001,2026-04-28,Qualified,,
LD000113,CMP0001,2026-04-29,Lost,,2026-05-07
LD000114,CMP0001,2026-04-29,NEW ,,
LD000115,CMP0001,2026-04-30,LOST,,2026-06-06
LD000116,CMP0001,2026-05-01,New,,
LD000117,CMP0001,2026-05-01,New,,
LD000118,CMP0001,2026-05-01,qualified,,
LD000119,CMP0001,2026-05-01,Lost,,2026-05-11
LD000120,CMP0001,2026-05-02,LOST,,2026-06-13
LD000121,CMP0001,2026-05-03,new,,
LD000122,CMP0001,2026-05-04,LOST,,2026-05-26
LD000123,CMP0001,2026-05-04,lost,,2026-06-08
LD000124,CMP0001,2026-05-04,New,,
LD000125,CMP0001,2026-05-06,Qualified,,
LD000126,CMP0001,2026-05-07,Lost,,2026-06-12
LD000127,CMP0001,2026-05-08,proposal ,,
LD000128,CMP0001,2026-05-08,LOST,,2026-05-30
LD000129,CMP0001,2026-05-09,Qualified,,
LD000130,CMP0001,2026-05-10,Qualified,,
LD000131,CMP0001,2026-05-10,new,,
